Date,Close
2013-06-21,30.6
2013-06-24,30.38
2013-06-25,31.49
2013-06-26,30.97
2013-06-27,30.87
2013-06-28,30.89
2013-07-01,30.61
2013-07-02,29.7
2013-07-03,29.28
2013-07-05,30.17
2013-07-08,30.94
2013-07-09,30.98
2013-07-10,31.04
2013-07-11,30.92
2013-07-12,31.35
2013-07-15,31.58
2013-07-16,31.16
2013-07-17,30.99
2013-07-18,30.82
2013-07-19,30.24
2013-07-22,30.27
2013-07-23,30.06
2013-07-24,29.9
2013-07-25,30.52
2013-07-26,30.43
2013-07-29,30.09
2013-07-30,30.04
2013-07-31,29.81
2013-08-01,30.16
2013-08-02,30.94
2013-08-05,31.25
2013-08-06,31.13
2013-08-07,31.24
2013-08-08,31.24
2013-08-09,30.91
2013-08-12,30.33
2013-08-13,30.45
2013-08-14,30.14
2013-08-15,30.02
2013-08-16,30.0
2013-08-19,29.87
2013-08-20,30.23
2013-08-21,29.85
2013-08-22,29.87
2013-08-23,30.2
2013-08-26,29.8
2013-08-27,29.2
2013-08-28,29.57
2013-08-29,29.47
2013-08-30,29.15
2013-09-03,29.43
2013-09-04,29.69
2013-09-05,30.33
2013-09-06,30.61
2013-09-09,30.59
2013-09-10,30.95
2013-09-11,31.33
2013-09-12,31.08
2013-09-13,31.05
2013-09-16,31.85
2013-09-17,32.38
2013-09-18,32.72
2013-09-19,32.51
2013-09-20,32.19
2013-09-23,31.58
2013-09-24,31.48
2013-09-25,31.06
2013-09-26,31.58
2013-09-27,31.15
2013-09-30,31.12
2013-10-01,31.78
2013-10-02,32.0
2013-10-03,31.48
2013-10-04,32.05
2013-10-07,31.93
2013-10-08,31.53
2013-10-09,31.43
2013-10-10,32.36
2013-10-11,32.4
2013-10-14,32.29
2013-10-15,32.07
2013-10-16,32.89
2013-10-17,33.03
2013-10-18,33.22
2013-10-21,32.77
2013-10-22,32.51
2013-10-23,32.6
2013-10-24,32.74
2013-10-25,32.47
2013-10-28,31.98
2013-10-29,32.03
2013-10-30,32.06
2013-10-31,31.66
2013-11-01,31.84
2013-11-04,31.93
2013-11-05,31.69
2013-11-06,31.27
2013-11-07,31.04
2013-11-08,31.59
2013-11-11,31.77
2013-11-12,31.84
2013-11-13,31.72
2013-11-14,31.68
2013-11-15,31.81
2013-11-18,31.62
2013-11-19,31.42
2013-11-20,31.37
2013-11-21,31.58
2013-11-22,31.36
2013-11-25,31.29
2013-11-26,31.42
2013-11-27,31.28
2013-11-29,31.15
2013-12-02,31.15
2013-12-03,31.09
2013-12-04,31.21
2013-12-05,31.44
2013-12-06,31.54
2013-12-09,31.75
2013-12-10,31.36
2013-12-11,31.09
2013-12-12,31.17
2013-12-13,31.58
2013-12-16,32.0
2013-12-17,31.64
2013-12-18,32.17
2013-12-19,32.31
2013-12-20,32.38
2013-12-23,32.37
2013-12-24,32.37
2013-12-26,32.59
2013-12-27,32.67
2013-12-30,32.67
2013-12-31,32.69
2014-01-02,32.36
2014-01-03,32.05
2014-01-06,31.98
2014-01-07,32.1
2014-01-08,31.74
2014-01-09,31.96
2014-01-10,32.54
2014-01-13,31.78
2014-01-14,31.85
2014-01-15,31.81
2014-01-16,32.0
2014-01-17,31.73
2014-01-21,31.27
2014-01-22,31.46
2014-01-23,31.74
2014-01-24,31.46
2014-01-27,31.36
2014-01-28,31.44
2014-01-29,30.78
2014-01-30,30.67
2014-01-31,30.36
2014-02-03,30.37
2014-02-04,30.23
2014-02-05,30.13
2014-02-06,30.05
2014-02-07,30.7
2014-02-10,31.14
2014-02-11,29.13
2014-02-12,30.0
2014-02-13,29.67
2014-02-14,29.88
2014-02-18,30.27
2014-02-19,29.75
2014-02-20,29.97
2014-02-21,29.61
2014-02-24,29.7
2014-02-25,30.13
2014-02-26,30.4
2014-02-27,30.72
2014-02-28,31.02
2014-03-03,30.99
2014-03-04,30.89
2014-03-05,30.72
2014-03-06,30.78
2014-03-07,30.58
2014-03-10,30.35
2014-03-11,30.28
2014-03-12,29.7
2014-03-13,29.25
2014-03-14,29.42
2014-03-17,29.38
2014-03-18,29.28
2014-03-19,29.91
2014-03-20,30.09
2014-03-21,29.26
2014-03-24,29.14
2014-03-25,29.26
2014-03-26,29.21
2014-03-27,29.3
2014-03-28,29.01
2014-03-31,28.94
2014-04-01,29.35
2014-04-02,29.62
2014-04-03,29.62
2014-04-04,29.32
2014-04-07,29.0
2014-04-08,29.15
2014-04-09,29.06
2014-04-10,28.86
2014-04-11,28.4
2014-04-14,28.48
2014-04-15,28.55
2014-04-16,28.53
2014-04-17,28.6
2014-04-21,29.03
2014-04-22,29.89
2014-04-23,29.39
2014-04-24,29.89
2014-04-25,30.16
2014-04-28,30.4
2014-04-29,30.53
2014-04-30,30.26
2014-05-01,30.31
2014-05-02,30.64
2014-05-05,30.53
2014-05-06,30.89
2014-05-07,30.65
2014-05-08,30.48
2014-05-09,30.54
2014-05-12,30.81
2014-05-13,30.73
2014-05-14,30.64
2014-05-15,30.46
2014-05-16,30.6
2014-05-19,30.46
2014-05-20,30.28
2014-05-21,30.42
2014-05-22,30.33
2014-05-23,30.53
2014-05-27,30.7
2014-05-28,30.48
2014-05-29,30.72
2014-05-30,30.7
2014-06-02,30.92
2014-06-03,31.25
2014-06-04,31.37
2014-06-05,31.61
2014-06-06,31.74
2014-06-09,32.01
2014-06-10,32.5
2014-06-11,32.13
2014-06-12,31.99
2014-06-13,32.12
2014-06-16,32.13
2014-06-17,32.81
2014-06-18,32.89
2014-06-19,32.55
2014-06-20,32.46
2014-06-23,32.64
2014-06-24,32.37
2014-06-25,32.37
2014-06-26,32.24
2014-06-27,32.38
2014-06-30,32.27
2014-07-01,32.51
2014-07-02,32.74
2014-07-03,32.91
2014-07-07,32.56
2014-07-08,32.48
2014-07-09,32.46
2014-07-10,32.52
2014-07-11,32.37
2014-07-14,32.73
2014-07-15,32.39
2014-07-16,32.63
2014-07-17,32.21
2014-07-18,32.69
2014-07-21,32.85
2014-07-22,32.87
2014-07-23,32.84
2014-07-24,32.89
2014-07-25,32.82
2014-07-28,32.86
2014-07-29,33.03
2014-07-30,33.14
2014-07-31,32.91
2014-08-01,32.74
2014-08-04,33.24
2014-08-05,32.21
2014-08-06,32.3
2014-08-07,31.79
2014-08-08,32.32
2014-08-11,32.6
2014-08-12,32.45
2014-08-13,32.87
2014-08-14,33.07
2014-08-15,33.69
2014-08-18,33.93
2014-08-19,34.52
2014-08-20,34.79
2014-08-21,34.89
2014-08-22,34.89
2014-08-25,34.9
2014-08-26,35.13
2014-08-27,35.34
2014-08-28,35.33
2014-08-29,35.44
2014-09-02,35.48
2014-09-03,35.76
2014-09-04,35.51
2014-09-05,36.04
2014-09-08,36.28
2014-09-09,36.18
2014-09-10,36.24
2014-09-11,36.27
2014-09-12,36.18
2014-09-15,36.27
2014-09-16,36.49
2014-09-17,36.65
2014-09-18,36.7
2014-09-19,37.2
2014-09-22,36.62
2014-09-23,35.88
2014-09-24,36.58
2014-09-25,36.3
2014-09-26,36.63
2014-09-29,36.79
2014-09-30,36.95
2014-10-01,36.45
2014-10-02,36.91
2014-10-03,37.67
2014-10-06,37.66
2014-10-07,36.71
2014-10-08,37.55
2014-10-09,37.02
2014-10-10,36.68
2014-10-13,35.57
2014-10-14,35.87
2014-10-15,35.26
2014-10-16,35.07
2014-10-17,35.37
2014-10-20,35.41
2014-10-21,36.09
2014-10-22,35.89
2014-10-23,36.11
2014-10-24,36.58
2014-10-27,36.57
2014-10-28,37.01
2014-10-29,36.62
2014-10-30,37.32
2014-10-31,37.16
2014-11-03,37.72
2014-11-04,39.12
2014-11-05,39.27
2014-11-06,39.71
2014-11-07,40.23
2014-11-10,40.16
2014-11-11,43.72
2014-11-12,42.64
2014-11-13,43.24
2014-11-14,43.14
2014-11-17,44.23
2014-11-18,44.19
2014-11-19,43.4
2014-11-20,43.15
2014-11-21,43.87
2014-11-24,44.58
2014-11-25,43.91
2014-11-26,44.67
2014-11-28,44.93
2014-12-01,44.37
2014-12-02,44.74
2014-12-03,44.88
2014-12-04,44.0
2014-12-05,43.98
2014-12-08,44.1
2014-12-09,43.82
2014-12-10,42.77
2014-12-11,42.88
2014-12-12,41.77
2014-12-15,41.74
2014-12-16,40.85
2014-12-17,41.13
2014-12-18,43.15
2014-12-19,43.51
2014-12-22,43.41
2014-12-23,42.97
2014-12-24,43.84
2014-12-26,44.2
2014-12-29,44.01
2014-12-30,43.35
2014-12-31,43.03
2015-01-02,43.31
2015-01-05,43.05
2015-01-06,42.63
2015-01-07,43.51
2015-01-08,44.18
2015-01-09,44.25
2015-01-12,43.42
2015-01-13,42.81
2015-01-14,43.03
2015-01-15,42.94
2015-01-16,44.22
2015-01-20,43.56
2015-01-21,44.25
2015-01-22,44.51
2015-01-23,44.12
2015-01-26,44.09
2015-01-27,43.3
2015-01-28,43.11
2015-01-29,43.32
2015-01-30,42.73
2015-02-02,43.38
2015-02-03,43.5
2015-02-04,43.46
2015-02-05,43.4
2015-02-06,43.66
2015-02-09,42.87
2015-02-10,43.91
2015-02-11,45.77
2015-02-12,45.79
2015-02-13,45.46
2015-02-17,46.2
2015-02-18,45.85
2015-02-19,45.65
2015-02-20,45.6
2015-02-23,45.58
2015-02-24,45.4
2015-02-25,45.72
2015-02-26,46.62
2015-02-27,46.09
2015-03-02,47.31
2015-03-03,46.54
2015-03-04,46.23
2015-03-05,46.46
2015-03-06,45.78
2015-03-09,46.29
2015-03-10,45.7
2015-03-11,46.01
2015-03-12,46.84
2015-03-13,46.45
2015-03-16,46.98
2015-03-17,47.15
2015-03-18,47.51
2015-03-19,47.41
2015-03-20,47.34
2015-03-23,47.15
2015-03-24,47.02
2015-03-25,46.27
2015-03-26,46.11
2015-03-27,46.22
2015-03-30,46.92
2015-03-31,46.29
2015-04-01,46.27
2015-04-02,46.5
2015-04-06,46.33
2015-04-07,46.36
2015-04-08,46.21
2015-04-09,46.55
2015-04-10,47.17
2015-04-13,46.66
2015-04-14,46.9
2015-04-15,47.0
2015-04-16,47.14
2015-04-17,46.77
2015-04-20,47.04
2015-04-21,47.54
2015-04-22,47.03
2015-04-23,47.05
2015-04-24,47.91
2015-04-27,46.83
2015-04-28,45.73
2015-04-29,45.22
2015-04-30,44.42
2015-05-01,44.61
2015-05-04,45.4
2015-05-05,45.68
2015-05-06,45.29
2015-05-07,45.56
2015-05-08,45.9
2015-05-11,46.09
2015-05-12,45.58
2015-05-13,45.62
2015-05-14,46.28
2015-05-15,46.49
2015-05-18,46.73
2015-05-19,47.45
2015-05-20,47.28
2015-05-21,47.8
2015-05-22,47.63
2015-05-26,47.95
2015-05-27,49.45
2015-05-28,49.11
2015-05-29,49.77
2015-06-01,49.78
2015-06-02,49.58
2015-06-03,49.55
2015-06-04,48.9
2015-06-05,49.01
2015-06-08,48.8
2015-06-09,49.24
2015-06-10,49.69
2015-06-11,49.87
2015-06-12,49.08
2015-06-15,49.27
2015-06-16,49.71
2015-06-17,50.17
2015-06-18,50.5
2015-06-19,50.24
2015-06-22,50.22
2015-06-23,50.47
2015-06-24,49.71
2015-06-25,55.38
2015-06-26,48.62
2015-06-29,47.07
2015-06-30,48.22
2015-07-01,48.43
2015-07-02,48.31
2015-07-06,48.4
2015-07-07,47.88
2015-07-08,46.48
2015-07-09,46.57
2015-07-10,46.96
2015-07-13,47.04
2015-07-14,47.46
2015-07-15,47.11
2015-07-16,48.0
2015-07-17,47.8
2015-07-20,48.98
2015-07-21,49.12
2015-07-22,50.02
2015-07-23,49.85
2015-07-24,49.49
2015-07-27,49.48
2015-07-28,48.85
2015-07-29,48.4
2015-07-30,48.55
2015-07-31,48.98
2015-08-03,48.48
2015-08-04,48.85
2015-08-05,48.61
2015-08-06,48.28
2015-08-07,48.31
2015-08-10,48.39
2015-08-11,48.21
2015-08-12,47.86
2015-08-13,47.66
2015-08-14,47.47
2015-08-17,48.69
2015-08-18,47.73
2015-08-19,47.91
2015-08-20,46.38
2015-08-21,45.02
2015-08-24,43.53
2015-08-25,42.56
2015-08-26,44.25
2015-08-27,45.86
2015-08-28,45.78
2015-08-31,44.87
2015-09-01,43.98
2015-09-02,45.12
2015-09-03,44.53
2015-09-04,44.01
2015-09-08,44.89
2015-09-09,43.95
2015-09-10,44.34
2015-09-11,45.0
2015-09-14,44.47
2015-09-15,45.06
2015-09-16,44.51
2015-09-17,46.01
2015-09-18,45.12
2015-09-21,44.5
2015-09-22,44.23
2015-09-23,44.32
2015-09-24,43.59
2015-09-25,42.51
2015-09-28,39.96
2015-09-29,39.65
2015-09-30,41.18
2015-10-01,41.29
2015-10-02,43.02
2015-10-05,42.85
2015-10-06,41.39
2015-10-07,42.67
2015-10-08,43.22
2015-10-09,42.8
2015-10-12,42.71
2015-10-13,42.32
2015-10-14,42.38
2015-10-15,43.0
2015-10-16,43.93
2015-10-19,43.78
2015-10-20,43.09
2015-10-21,41.66
2015-10-22,40.8
2015-10-23,42.54
2015-10-26,42.35
2015-10-27,42.74
2015-10-28,43.34
2015-10-29,43.55
2015-10-30,43.01
2015-11-02,44.24
2015-11-03,46.63
2015-11-04,46.55
2015-11-05,45.46
2015-11-06,45.97
2015-11-09,45.8
2015-11-10,45.88
2015-11-11,45.08
2015-11-12,44.53
2015-11-13,44.85
2015-11-16,45.3
2015-11-17,45.77
2015-11-18,47.18
2015-11-19,46.9
2015-11-20,47.32
2015-11-23,46.96
2015-11-24,46.93
2015-11-25,46.97
2015-11-27,47.08
2015-11-30,46.7
2015-12-01,47.01
2015-12-02,46.37
2015-12-03,45.2
2015-12-04,46.46
2015-12-07,45.91
2015-12-08,45.94
2015-12-09,45.21
2015-12-10,46.1
2015-12-11,45.83
2015-12-14,46.59
2015-12-15,46.97
2015-12-16,47.09
2015-12-17,46.73
2015-12-18,46.6
2015-12-21,47.34
2015-12-22,47.72
2015-12-23,47.98
2015-12-24,48.13
2015-12-28,47.9
2015-12-29,48.33
2015-12-30,48.26
2015-12-31,47.92
2016-01-04,47.27
2016-01-05,48.01
2016-01-06,48.02
2016-01-07,46.56
2016-01-08,45.88
2016-01-11,44.58
2016-01-12,44.97
2016-01-13,43.25
2016-01-14,44.13
2016-01-15,43.38
2016-01-19,43.19
2016-01-20,43.79
2016-01-21,43.08
2016-01-22,43.4
2016-01-25,43.2
2016-01-26,43.87
2016-01-27,43.15
2016-01-28,42.84
2016-01-29,43.05
2016-02-01,42.96
2016-02-02,41.72
2016-02-03,41.31
2016-02-04,41.54
2016-02-05,40.91
2016-02-08,40.19
2016-02-09,39.86
2016-02-10,39.33
2016-02-11,39.36
2016-02-12,40.43
2016-02-16,40.43
2016-02-17,41.8
2016-02-18,42.02
2016-02-19,41.83
2016-02-22,42.77
2016-02-23,42.37
2016-02-24,42.37
2016-02-25,42.9
2016-02-26,42.36
2016-02-29,41.06
2016-03-01,42.1
2016-03-02,41.72
2016-03-03,41.08
2016-03-04,40.8
2016-03-07,41.2
2016-03-08,40.23
2016-03-09,40.46
2016-03-10,39.91
2016-03-11,41.87
2016-03-14,41.31
2016-03-15,40.72
2016-03-16,40.46
2016-03-17,39.72
2016-03-18,40.86
2016-03-21,41.62
2016-03-22,42.75
2016-03-23,42.64
2016-03-24,42.48
2016-03-28,42.18
2016-03-29,43.12
2016-03-30,44.02
2016-03-31,44.33
2016-04-01,44.99
2016-04-04,45.76
2016-04-05,45.85
2016-04-06,47.27
2016-04-07,47.19
2016-04-08,46.94
2016-04-11,46.67
2016-04-12,47.01
2016-04-13,47.5
2016-04-14,47.67
2016-04-15,48.11
2016-04-18,48.57
2016-04-19,48.56
2016-04-20,48.47
2016-04-21,48.44
2016-04-22,48.64
2016-04-25,47.32
2016-04-26,47.61
2016-04-27,47.46
2016-04-28,47.19
2016-04-29,47.03
2016-05-02,48.03
2016-05-03,48.15
2016-05-04,47.05
2016-05-05,48.24
2016-05-06,47.34
2016-05-09,47.5
2016-05-10,46.56
2016-05-11,46.0
2016-05-12,46.25
2016-05-13,46.39
2016-05-16,46.77
2016-05-17,46.5
2016-05-18,46.96
2016-05-19,46.43
2016-05-20,47.06
2016-05-23,46.4
2016-05-24,47.29
2016-05-25,47.0
2016-05-26,47.33
2016-05-27,47.18
2016-05-31,47.42
2016-06-01,47.85
2016-06-02,48.13
2016-06-03,47.93
2016-06-06,48.41
2016-06-07,48.35
2016-06-08,48.45
2016-06-09,48.14
2016-06-10,47.39
2016-06-13,46.19
2016-06-14,47.19
2016-06-15,47.22
2016-06-16,47.26
2016-06-17,46.44
2016-06-20,46.91
2016-06-21,47.29
2016-06-22,47.33
2016-06-23,47.9
2016-06-24,46.51
2016-06-27,45.42
2016-06-28,46.42
2016-06-29,47.24
2016-06-30,47.46
2016-07-01,47.45
2016-07-05,47.5
2016-07-06,48.09
2016-07-07,47.69
2016-07-08,48.5
2016-07-11,48.29
2016-07-12,48.87
2016-07-13,49.19
2016-07-14,49.98
2016-07-15,49.68
2016-07-18,49.72
2016-07-19,49.37
2016-07-20,50.25
2016-07-21,50.14
2016-07-22,50.26
2016-07-25,49.99
2016-07-26,49.92
2016-07-27,49.85
2016-07-28,50.06
2016-07-29,50.47
2016-08-01,50.4
2016-08-02,49.72
2016-08-03,51.21
2016-08-04,51.41
2016-08-05,51.09
2016-08-08,50.8
2016-08-09,50.93
2016-08-10,51.81
2016-08-11,52.07
2016-08-12,51.98
2016-08-15,52.38
2016-08-16,52.09
2016-08-17,52.3
2016-08-18,52.29
2016-08-19,52.54
2016-08-22,51.23
2016-08-23,51.25
2016-08-24,50.63
2016-08-25,50.47
2016-08-26,50.76
2016-08-29,50.76
2016-08-30,50.75
2016-08-31,51.1
2016-09-01,51.11
2016-09-02,51.26
2016-09-06,51.29
2016-09-07,52.04
2016-09-08,51.41
2016-09-09,50.39
2016-09-12,51.15
2016-09-13,50.32
2016-09-14,50.55
2016-09-15,50.72
2016-09-16,50.51
2016-09-19,50.32
2016-09-20,50.6
2016-09-21,51.06
2016-09-22,51.63
2016-09-23,51.51
2016-09-26,51.21
2016-09-27,51.87
2016-09-28,51.75
2016-09-29,51.02
2016-09-30,52.01
2016-10-03,52.36
2016-10-04,52.31
2016-10-05,52.18
2016-10-06,51.65
2016-10-07,51.85
2016-10-10,52.69
2016-10-11,50.96
2016-10-12,51.42
2016-10-13,51.02
2016-10-14,50.18
2016-10-17,50.03
2016-10-18,51.06
2016-10-19,51.11
2016-10-20,51.3
2016-10-21,50.94
2016-10-24,51.03
2016-10-25,49.99
2016-10-26,48.77
2016-10-27,48.77
2016-10-28,48.56
2016-10-31,47.8
2016-11-01,47.25
2016-11-02,50.11
2016-11-03,48.95
2016-11-04,49.94
2016-11-07,49.98
2016-11-08,50.33
2016-11-09,51.0
2016-11-10,51.09
2016-11-11,50.61
2016-11-14,48.96
2016-11-15,49.15
2016-11-16,48.84
2016-11-17,49.21
2016-11-18,49.89
2016-11-21,50.0
2016-11-22,49.63
2016-11-23,50.18
2016-11-25,50.18
2016-11-28,50.15
2016-11-29,50.45
2016-11-30,50.38
2016-12-01,49.16
2016-12-02,49.1
2016-12-05,49.82
2016-12-06,50.22
2016-12-07,51.26
2016-12-08,51.68
2016-12-09,51.89
2016-12-12,50.92
2016-12-13,51.05
2016-12-14,50.84
2016-12-15,52.32
2016-12-16,52.46
2016-12-19,52.39
2016-12-20,53.1
2016-12-21,53.12
2016-12-22,53.26
2016-12-23,53.78
2016-12-27,53.72
2016-12-28,53.44
2016-12-29,53.62
2016-12-30,53.53
2017-01-03,53.59
2017-01-04,54.11
2017-01-05,53.93
2017-01-06,54.1
2017-01-09,53.95
2017-01-10,53.93
2017-01-11,53.31
2017-01-12,53.39
2017-01-13,53.74
2017-01-17,53.22
2017-01-18,53.3
2017-01-19,53.5
2017-01-20,53.97
2017-01-23,53.75
2017-01-24,53.78
2017-01-25,54.0
2017-01-26,53.84
2017-01-27,54.65
2017-01-30,54.27
2017-01-31,54.94
2017-02-01,55.32
2017-02-02,55.7
2017-02-03,55.92
2017-02-06,55.77
2017-02-07,55.98
2017-02-08,55.96
2017-02-09,55.96
2017-02-10,55.73
2017-02-13,55.14
2017-02-14,55.02
2017-02-15,55.15
2017-02-16,52.78
2017-02-17,52.51
2017-02-21,53.47
2017-02-22,53.38
2017-02-23,53.58
2017-02-24,53.88
2017-02-27,53.83
2017-02-28,53.31
2017-03-01,53.89
2017-03-02,53.37
2017-03-03,53.42
2017-03-06,53.08
2017-03-07,53.07
2017-03-08,53.0
2017-03-09,53.69
2017-03-10,53.34
2017-03-13,53.56
2017-03-14,53.42
2017-03-15,54.28
2017-03-16,54.43
2017-03-17,54.0
2017-03-20,54.28
2017-03-21,53.39
2017-03-22,53.87
2017-03-23,53.8
2017-03-24,53.85
2017-03-27,53.97
2017-03-28,54.16
2017-03-29,53.82
2017-03-30,53.47
2017-03-31,53.37
2017-04-03,53.17
2017-04-04,52.65
2017-04-05,52.67
2017-04-06,52.67
2017-04-07,52.54
2017-04-10,52.74
2017-04-11,52.85
2017-04-12,53.22
2017-04-13,53.1
2017-04-17,53.5
2017-04-18,53.55
2017-04-19,53.85
2017-04-20,54.29
2017-04-21,54.19
2017-04-24,54.99
2017-04-25,55.12
2017-04-26,55.57
2017-04-27,56.46
2017-04-28,56.11
2017-05-01,56.28
2017-05-02,56.47
2017-05-03,55.59
2017-05-04,58.87
2017-05-05,59.47
2017-05-08,58.81
2017-05-09,59.43
2017-05-10,59.9
2017-05-11,59.72
2017-05-12,59.88
2017-05-15,60.0
2017-05-16,60.33
2017-05-17,59.73
2017-05-18,59.91
2017-05-19,60.31
2017-05-22,60.31
2017-05-23,61.43
2017-05-24,62.3
2017-05-25,62.58
2017-05-26,62.61
2017-05-30,62.26
2017-05-31,62.28
2017-06-01,62.64
2017-06-02,62.5
2017-06-05,62.67
2017-06-06,62.98
2017-06-07,63.26
2017-06-08,62.58
2017-06-09,62.59
2017-06-12,61.85
2017-06-13,61.96
2017-06-14,62.23
2017-06-15,62.39
2017-06-16,62.55
2017-06-19,63.03
2017-06-20,63.0
2017-06-21,63.0
2017-06-22,63.51
2017-06-23,62.78
2017-06-26,62.72
2017-06-27,62.76
2017-06-28,62.95
2017-06-29,62.5
2017-06-30,62.38
2017-07-03,62.67
2017-07-05,62.55
2017-07-06,61.79
2017-07-07,62.59
2017-07-10,62.47
2017-07-11,62.21
2017-07-12,62.56
2017-07-13,63.05
2017-07-14,63.35
2017-07-17,63.07
2017-07-18,62.46
2017-07-19,62.42
2017-07-20,62.75
2017-07-21,63.16
2017-07-24,63.29
2017-07-25,61.28
2017-07-26,62.06
2017-07-27,62.01
2017-07-28,62.21
2017-07-31,62.52
2017-08-01,62.27
2017-08-02,61.54
2017-08-03,62.28
2017-08-04,62.12
2017-08-07,61.83
2017-08-08,60.0
2017-08-09,60.81
2017-08-10,59.74
2017-08-11,59.73
2017-08-14,60.74
2017-08-15,61.03
2017-08-16,61.5
2017-08-17,60.9
2017-08-18,60.75
2017-08-21,61.35
2017-08-22,61.6
2017-08-23,61.36
2017-08-24,61.39
2017-08-25,61.33
2017-08-28,61.54
2017-08-29,61.5
2017-08-30,61.94
2017-08-31,62.7
2017-09-01,62.87
2017-09-05,63.17
2017-09-06,63.39
2017-09-07,64.85
2017-09-08,64.7
2017-09-11,65.28
2017-09-12,65.4
2017-09-13,65.28
2017-09-14,65.25
2017-09-15,65.2
2017-09-18,65.2
2017-09-19,64.78
2017-09-20,64.48
2017-09-21,64.24
2017-09-22,64.16
2017-09-25,63.67
2017-09-26,63.33
2017-09-27,63.21
2017-09-28,63.32
2017-09-29,63.76
2017-10-02,63.75
2017-10-03,63.59
2017-10-04,63.57
2017-10-05,63.75
2017-10-06,63.75
2017-10-09,63.73
2017-10-10,63.99
2017-10-11,64.28
2017-10-12,64.91
2017-10-13,65.44
2017-10-16,65.71
2017-10-17,65.81
2017-10-18,65.56
2017-10-19,65.58
2017-10-20,65.94
2017-10-23,65.28
2017-10-24,64.98
2017-10-25,64.38
2017-10-26,63.74
2017-10-27,64.05
2017-10-30,63.24
2017-10-31,63.82
2017-11-01,64.51
2017-11-02,67.31
2017-11-03,68.69
2017-11-06,69.71
2017-11-07,68.45
2017-11-08,69.51
2017-11-09,69.3
2017-11-10,69.13
2017-11-13,68.88
2017-11-14,69.9
2017-11-15,69.62
2017-11-16,70.41
2017-11-17,70.79
2017-11-20,70.95
2017-11-21,71.36
2017-11-22,71.07
2017-11-24,71.29
2017-11-27,71.54
2017-11-28,71.39
2017-11-29,71.61
2017-11-30,72.29
2017-12-01,72.3
2017-12-04,71.02
2017-12-05,70.85
2017-12-06,70.97
2017-12-07,71.64
2017-12-08,71.88
2017-12-11,71.77
2017-12-12,72.23
2017-12-13,72.38
2017-12-14,71.76
2017-12-15,71.96
2017-12-18,72.63
2017-12-19,72.8
2017-12-20,72.71
2017-12-21,72.28
2017-12-22,71.99
2017-12-26,72.34
2017-12-27,72.45
2017-12-28,72.39
2017-12-29,72.04
2018-01-02,71.77
2018-01-03,72.1
2018-01-04,72.53
2018-01-05,73.36
2018-01-08,74.24
2018-01-09,75.11
2018-01-10,73.91
2018-01-11,74.59
2018-01-12,75.39
2018-01-16,75.54
2018-01-17,76.77
2018-01-18,76.33
2018-01-19,76.62
2018-01-22,77.48
2018-01-23,77.59
2018-01-24,78.33
2018-01-25,79.25
2018-01-26,80.09
2018-01-29,79.18
2018-01-30,78.35
2018-01-31,76.73
2018-02-01,77.82
2018-02-02,76.78
2018-02-05,73.83
2018-02-06,73.27
2018-02-07,73.86
2018-02-08,71.51
2018-02-09,72.35
2018-02-12,73.19
2018-02-13,73.24
2018-02-14,74.46
2018-02-15,78.5
2018-02-16,79.73
