Date,Close
2014-04-22,46.02
2014-04-23,45.95
2014-04-24,44.82
2014-04-25,41.61
2014-04-28,40.73
2014-04-29,42.62
2014-04-30,38.97
2014-05-01,39.09
2014-05-02,39.02
2014-05-05,38.75
2014-05-06,31.85
2014-05-07,30.66
2014-05-08,31.96
2014-05-09,32.05
2014-05-12,33.94
2014-05-13,33.39
2014-05-14,32.85
2014-05-15,32.77
2014-05-16,32.26
2014-05-19,32.07
2014-05-20,31.77
2014-05-21,31.75
2014-05-22,31.52
2014-05-23,30.5
2014-05-27,30.51
2014-05-28,33.77
2014-05-29,34.0
2014-05-30,32.44
2014-06-02,31.75
2014-06-03,32.58
2014-06-04,32.9
2014-06-05,33.89
2014-06-06,33.33
2014-06-09,34.47
2014-06-10,35.37
2014-06-11,35.54
2014-06-12,36.79
2014-06-13,36.9
2014-06-16,38.02
2014-06-17,38.02
2014-06-18,38.74
2014-06-19,38.9
2014-06-20,39.24
2014-06-23,39.52
2014-06-24,38.48
2014-06-25,39.46
2014-06-26,41.44
2014-06-27,40.93
2014-06-30,40.97
2014-07-01,42.05
2014-07-02,41.77
2014-07-03,41.33
2014-07-07,40.23
2014-07-08,37.41
2014-07-09,38.06
2014-07-10,37.84
2014-07-11,38.33
2014-07-14,38.31
2014-07-15,37.88
2014-07-16,37.43
2014-07-17,36.87
2014-07-18,37.05
2014-07-21,38.05
2014-07-22,37.65
2014-07-23,37.75
2014-07-24,38.71
2014-07-25,38.16
2014-07-28,37.93
2014-07-29,38.59
2014-07-30,46.3
2014-07-31,45.19
2014-08-01,44.13
2014-08-04,43.47
2014-08-05,43.83
2014-08-06,43.46
2014-08-07,43.0
2014-08-08,43.13
2014-08-11,43.27
2014-08-12,43.81
2014-08-13,44.15
2014-08-14,45.33
2014-08-15,44.76
2014-08-18,45.12
2014-08-19,45.09
2014-08-20,45.06
2014-08-21,45.11
2014-08-22,45.98
2014-08-25,46.1
2014-08-26,48.17
2014-08-27,48.06
2014-08-28,49.43
2014-08-29,49.75
2014-09-02,51.02
2014-09-03,49.33
2014-09-04,50.24
2014-09-05,50.7
2014-09-08,52.0
2014-09-09,50.61
2014-09-10,52.91
2014-09-11,52.64
2014-09-12,52.11
2014-09-15,49.38
2014-09-16,50.83
2014-09-17,50.7
2014-09-18,50.88
2014-09-19,53.0
2014-09-22,51.94
2014-09-23,52.17
2014-09-24,52.96
2014-09-25,51.45
2014-09-26,51.89
2014-09-29,51.74
2014-09-30,51.58
2014-10-01,50.06
2014-10-02,51.85
2014-10-03,53.94
2014-10-06,53.49
2014-10-07,53.53
2014-10-08,55.42
2014-10-09,55.29
2014-10-10,50.4
2014-10-13,48.49
2014-10-14,48.58
2014-10-15,49.99
2014-10-16,48.23
2014-10-17,48.77
2014-10-20,50.7
2014-10-21,50.63
2014-10-22,49.08
2014-10-23,49.67
2014-10-24,49.95
2014-10-27,48.56
2014-10-28,43.78
2014-10-29,42.08
2014-10-30,41.8
2014-10-31,41.47
2014-11-03,40.21
2014-11-04,40.9
2014-11-05,40.37
2014-11-06,40.84
2014-11-07,40.31
2014-11-10,39.59
2014-11-11,39.59
2014-11-12,42.54
2014-11-13,40.04
2014-11-14,41.85
2014-11-17,40.47
2014-11-18,40.61
2014-11-19,39.71
2014-11-20,39.81
2014-11-21,40.03
2014-11-24,40.19
2014-11-25,39.76
2014-11-26,41.13
2014-11-28,41.74
2014-12-01,39.04
2014-12-02,38.91
2014-12-03,39.06
2014-12-04,38.79
2014-12-05,38.49
2014-12-08,36.29
2014-12-09,37.05
2014-12-10,36.35
2014-12-11,36.7
2014-12-12,37.1
2014-12-15,36.85
2014-12-16,35.13
2014-12-17,35.57
2014-12-18,36.73
2014-12-19,37.08
2014-12-22,38.43
2014-12-23,37.57
2014-12-24,37.61
2014-12-26,37.6
2014-12-29,36.42
2014-12-30,35.86
2014-12-31,35.87
2015-01-02,36.56
2015-01-05,36.38
2015-01-06,38.76
2015-01-07,37.28
2015-01-08,39.09
2015-01-09,40.17
2015-01-12,39.37
2015-01-13,39.65
2015-01-14,39.85
2015-01-15,36.93
2015-01-16,37.31
2015-01-20,37.57
2015-01-21,37.83
2015-01-22,39.07
2015-01-23,39.42
2015-01-26,40.1
2015-01-27,38.92
2015-01-28,37.15
2015-01-29,36.68
2015-01-30,37.53
2015-02-02,37.46
2015-02-03,39.79
2015-02-04,40.72
2015-02-05,41.26
2015-02-06,48.01
2015-02-09,47.32
2015-02-10,46.26
2015-02-11,47.5
2015-02-12,47.95
2015-02-13,48.5
2015-02-17,48.03
2015-02-18,47.82
2015-02-19,48.7
2015-02-20,49.11
2015-02-23,48.47
2015-02-24,48.69
2015-02-25,48.55
2015-02-26,49.41
2015-02-27,48.08
2015-03-02,48.15
2015-03-03,47.71
2015-03-04,47.57
2015-03-05,47.35
2015-03-06,46.75
2015-03-09,47.59
2015-03-10,45.84
2015-03-11,46.27
2015-03-12,47.07
2015-03-13,46.66
2015-03-16,46.43
2015-03-17,46.93
2015-03-18,47.2
2015-03-19,47.93
2015-03-20,48.44
2015-03-23,48.46
2015-03-24,51.47
2015-03-25,49.5
2015-03-26,49.92
2015-03-27,50.01
2015-03-30,49.89
2015-03-31,50.08
2015-04-01,50.47
2015-04-02,50.42
2015-04-06,50.84
2015-04-07,52.87
2015-04-08,52.3
2015-04-09,52.17
2015-04-10,51.94
2015-04-13,51.62
2015-04-14,51.2
2015-04-15,51.3
2015-04-16,52.03
2015-04-17,50.66
2015-04-20,51.4
2015-04-21,51.32
2015-04-22,51.73
2015-04-23,51.41
2015-04-24,50.82
2015-04-27,51.66
2015-04-28,42.27
2015-04-29,38.49
2015-04-30,38.96
2015-05-01,37.84
2015-05-04,37.88
2015-05-05,37.42
2015-05-06,37.26
2015-05-07,37.71
2015-05-08,37.59
2015-05-11,37.31
2015-05-12,37.48
2015-05-13,37.72
2015-05-14,37.33
2015-05-15,37.1
2015-05-18,37.28
2015-05-19,37.5
2015-05-20,36.78
2015-05-21,36.68
2015-05-22,36.6
2015-05-26,36.51
2015-05-27,36.41
2015-05-28,36.83
2015-05-29,36.67
2015-06-01,36.63
2015-06-02,36.4
2015-06-03,37.0
2015-06-04,36.71
2015-06-05,37.0
2015-06-08,36.46
2015-06-09,35.88
2015-06-10,35.85
2015-06-11,35.84
2015-06-12,35.9
2015-06-15,34.67
2015-06-16,34.82
2015-06-17,34.69
2015-06-18,34.66
2015-06-19,35.86
2015-06-22,35.55
2015-06-23,35.37
2015-06-24,35.17
2015-06-25,35.17
2015-06-26,35.26
2015-06-29,34.21
2015-06-30,36.22
2015-07-01,35.4
2015-07-02,35.72
2015-07-06,35.43
2015-07-07,35.52
2015-07-08,34.76
2015-07-09,34.36
2015-07-10,34.91
2015-07-13,35.78
2015-07-14,36.72
2015-07-15,35.66
2015-07-16,36.1
2015-07-17,35.67
2015-07-20,35.81
2015-07-21,36.63
2015-07-22,36.09
2015-07-23,36.19
2015-07-24,35.42
2015-07-27,34.7
2015-07-28,36.54
2015-07-29,31.24
2015-07-30,31.47
2015-07-31,31.01
2015-08-03,29.27
2015-08-04,29.34
2015-08-05,28.48
2015-08-06,27.54
2015-08-07,27.04
2015-08-10,29.5
2015-08-11,29.62
2015-08-12,29.39
2015-08-13,28.54
2015-08-14,29.06
2015-08-17,29.06
2015-08-18,28.3
2015-08-19,27.61
2015-08-20,26.0
2015-08-21,25.87
2015-08-24,25.17
2015-08-25,24.38
2015-08-26,25.03
2015-08-27,26.46
2015-08-28,26.83
2015-08-31,27.79
2015-09-01,27.03
2015-09-02,27.82
2015-09-03,28.3
2015-09-04,28.15
2015-09-08,27.18
2015-09-09,27.18
2015-09-10,27.71
2015-09-11,27.39
2015-09-14,26.9
2015-09-15,27.17
2015-09-16,27.75
2015-09-17,27.41
2015-09-18,27.96
2015-09-21,27.38
2015-09-22,26.83
2015-09-23,26.79
2015-09-24,26.6
2015-09-25,25.29
2015-09-28,25.26
2015-09-29,25.59
2015-09-30,26.94
2015-10-01,24.68
2015-10-02,26.31
2015-10-05,28.15
2015-10-06,27.62
2015-10-07,29.83
2015-10-08,30.32
2015-10-09,30.85
2015-10-12,28.75
2015-10-13,29.06
2015-10-14,29.38
2015-10-15,29.71
2015-10-16,31.15
2015-10-19,30.91
2015-10-20,30.91
2015-10-21,29.3
2015-10-22,29.15
2015-10-23,30.28
2015-10-26,30.89
2015-10-27,31.34
2015-10-28,30.87
2015-10-29,29.06
2015-10-30,28.46
2015-11-02,29.2
2015-11-03,29.13
2015-11-04,29.36
2015-11-05,28.66
2015-11-06,28.28
2015-11-09,27.09
2015-11-10,27.05
2015-11-11,26.5
2015-11-12,26.13
2015-11-13,25.18
2015-11-16,25.41
2015-11-17,25.23
2015-11-18,25.9
2015-11-19,26.32
2015-11-20,26.27
2015-11-23,25.2
2015-11-24,25.52
2015-11-25,26.06
2015-11-27,25.75
2015-11-30,25.4
2015-12-01,25.53
2015-12-02,25.4
2015-12-03,25.9
2015-12-04,25.02
2015-12-07,24.46
2015-12-08,24.99
2015-12-09,24.31
2015-12-10,25.91
2015-12-11,24.84
2015-12-14,24.92
2015-12-15,23.95
2015-12-16,24.3
2015-12-17,23.31
2015-12-18,22.99
2015-12-21,22.14
2015-12-22,22.56
2015-12-23,22.67
2015-12-24,22.97
2015-12-28,22.53
2015-12-29,22.47
2015-12-30,22.23
2015-12-31,23.14
2016-01-04,22.56
2016-01-05,21.92
2016-01-06,21.39
2016-01-07,20.26
2016-01-08,19.98
2016-01-11,19.65
2016-01-12,19.62
2016-01-13,18.68
2016-01-14,19.0
2016-01-15,17.94
2016-01-19,16.69
2016-01-20,17.38
2016-01-21,17.83
2016-01-22,17.84
2016-01-25,17.02
2016-01-26,17.01
2016-01-27,16.78
2016-01-28,16.49
2016-01-29,16.8
2016-02-01,17.91
2016-02-02,16.08
2016-02-03,16.56
2016-02-04,16.91
2016-02-05,15.72
2016-02-08,14.9
2016-02-09,14.4
2016-02-10,14.98
2016-02-11,14.31
2016-02-12,15.88
2016-02-16,16.36
2016-02-17,17.46
2016-02-18,18.43
2016-02-19,18.31
2016-02-22,18.3
2016-02-23,18.3
2016-02-24,18.0
2016-02-25,17.59
2016-02-26,17.94
2016-02-29,18.12
2016-03-01,17.85
2016-03-02,18.54
2016-03-03,19.31
2016-03-04,19.36
2016-03-07,19.17
2016-03-08,18.33
2016-03-09,17.66
2016-03-10,16.61
2016-03-11,16.81
2016-03-14,17.12
2016-03-15,16.19
2016-03-16,16.7
2016-03-17,16.85
2016-03-18,16.85
2016-03-21,16.89
2016-03-22,16.86
2016-03-23,16.01
2016-03-24,15.91
2016-03-28,15.6
2016-03-29,15.97
2016-03-30,16.36
2016-03-31,16.55
2016-04-01,15.98
2016-04-04,17.09
2016-04-05,17.05
2016-04-06,17.26
2016-04-07,16.98
2016-04-08,16.65
2016-04-11,16.51
2016-04-12,16.57
2016-04-13,17.37
2016-04-14,17.53
2016-04-15,17.58
2016-04-18,17.31
2016-04-19,16.92
2016-04-20,17.4
2016-04-21,17.51
2016-04-22,17.23
2016-04-25,17.09
2016-04-26,17.75
2016-04-27,14.86
2016-04-28,14.64
2016-04-29,14.62
2016-05-02,14.4
2016-05-03,14.01
2016-05-04,14.84
2016-05-05,14.12
2016-05-06,14.4
2016-05-09,14.2
2016-05-10,14.63
2016-05-11,14.59
2016-05-12,14.08
2016-05-13,14.1
2016-05-16,14.29
2016-05-17,14.34
2016-05-18,14.14
2016-05-19,14.15
2016-05-20,14.43
2016-05-23,14.41
2016-05-24,14.03
2016-05-25,14.41
2016-05-26,14.3
2016-05-27,15.1
2016-05-31,15.22
2016-06-01,15.02
2016-06-02,15.2
2016-06-03,15.2
2016-06-06,15.27
2016-06-07,15.0
2016-06-08,14.95
2016-06-09,14.6
2016-06-10,14.02
2016-06-13,14.55
2016-06-14,15.36
2016-06-15,15.96
2016-06-16,15.87
2016-06-17,16.1
2016-06-20,16.34
2016-06-21,16.32
2016-06-22,16.13
2016-06-23,17.04
2016-06-24,16.44
2016-06-27,15.84
2016-06-28,16.42
2016-06-29,16.83
2016-06-30,16.91
2016-07-01,17.28
2016-07-05,17.14
2016-07-06,17.2
2016-07-07,17.37
2016-07-08,18.08
2016-07-11,17.71
2016-07-12,18.1
2016-07-13,17.74
2016-07-14,17.96
2016-07-15,18.08
2016-07-18,18.65
2016-07-19,18.33
2016-07-20,18.56
2016-07-21,18.39
2016-07-22,18.37
2016-07-25,18.65
2016-07-26,18.45
2016-07-27,15.77
2016-07-28,16.31
2016-07-29,16.64
2016-08-01,16.64
2016-08-02,16.42
2016-08-03,17.61
2016-08-04,18.13
2016-08-05,18.26
2016-08-08,18.2
2016-08-09,18.68
2016-08-10,19.04
2016-08-11,19.78
2016-08-12,19.54
2016-08-15,20.86
2016-08-16,20.4
2016-08-17,20.17
2016-08-18,19.0
2016-08-19,18.98
2016-08-22,18.55
2016-08-23,18.69
2016-08-24,18.25
2016-08-25,18.32
2016-08-26,18.3
2016-08-29,18.47
2016-08-30,18.38
2016-08-31,19.21
2016-09-01,19.5
2016-09-02,19.55
2016-09-06,19.93
2016-09-07,19.87
2016-09-08,18.7
2016-09-09,18.11
2016-09-12,18.15
2016-09-13,17.76
2016-09-14,18.08
2016-09-15,18.3
2016-09-16,19.11
2016-09-19,18.36
2016-09-20,18.39
2016-09-21,18.49
2016-09-22,18.63
2016-09-23,22.62
2016-09-26,23.37
2016-09-27,23.72
2016-09-28,22.96
2016-09-29,23.01
2016-09-30,23.05
2016-10-03,24.0
2016-10-04,23.52
2016-10-05,24.87
2016-10-06,19.87
2016-10-07,19.85
2016-10-10,17.56
2016-10-11,18.0
2016-10-12,18.05
2016-10-13,17.79
2016-10-14,16.88
2016-10-17,16.73
2016-10-18,16.83
2016-10-19,17.07
2016-10-20,16.9
2016-10-21,18.09
2016-10-24,18.03
2016-10-25,17.26
2016-10-26,17.29
2016-10-27,17.4
2016-10-28,17.66
2016-10-31,17.95
2016-11-01,17.49
2016-11-02,17.61
2016-11-03,17.58
2016-11-04,18.02
2016-11-07,18.41
2016-11-08,18.38
2016-11-09,19.13
2016-11-10,18.37
2016-11-11,18.55
2016-11-14,19.14
2016-11-15,18.98
2016-11-16,18.63
2016-11-17,18.55
2016-11-18,18.73
2016-11-21,18.6
2016-11-22,18.63
2016-11-23,18.22
2016-11-25,18.06
2016-11-28,18.3
2016-11-29,18.19
2016-11-30,18.49
2016-12-01,18.03
2016-12-02,17.93
2016-12-05,18.23
2016-12-06,18.23
2016-12-07,19.48
2016-12-08,19.64
2016-12-09,19.65
2016-12-12,18.93
2016-12-13,19.37
2016-12-14,18.93
2016-12-15,18.79
2016-12-16,18.63
2016-12-19,18.24
2016-12-20,17.92
2016-12-21,17.08
2016-12-22,16.41
2016-12-23,16.5
2016-12-27,16.61
2016-12-28,16.39
2016-12-29,16.39
2016-12-30,16.3
2017-01-03,16.44
2017-01-04,16.86
2017-01-05,17.09
2017-01-06,17.17
2017-01-09,17.5
2017-01-10,17.37
2017-01-11,17.3
2017-01-12,17.38
2017-01-13,17.25
2017-01-17,16.96
2017-01-18,17.11
2017-01-19,16.79
2017-01-20,16.58
2017-01-23,16.61
2017-01-24,16.52
2017-01-25,16.73
2017-01-26,16.81
2017-01-27,16.57
2017-01-30,16.94
2017-01-31,17.62
2017-02-01,17.24
2017-02-02,17.78
2017-02-03,17.61
2017-02-06,17.93
2017-02-07,18.26
2017-02-08,18.72
2017-02-09,16.41
2017-02-10,15.58
2017-02-13,15.81
2017-02-14,16.52
2017-02-15,16.74
2017-02-16,16.35
2017-02-17,16.62
2017-02-21,16.42
2017-02-22,16.08
2017-02-23,16.03
2017-02-24,15.98
2017-02-27,16.06
2017-02-28,15.77
2017-03-01,15.79
2017-03-02,15.79
2017-03-03,15.75
2017-03-06,15.56
2017-03-07,15.18
2017-03-08,15.24
2017-03-09,15.22
2017-03-10,15.12
2017-03-13,15.21
2017-03-14,15.32
2017-03-15,15.03
2017-03-16,15.19
2017-03-17,15.08
2017-03-20,15.09
2017-03-21,14.54
2017-03-22,14.98
2017-03-23,14.93
2017-03-24,15.14
2017-03-27,14.99
2017-03-28,14.94
2017-03-29,15.04
2017-03-30,14.92
2017-03-31,14.95
2017-04-03,14.84
2017-04-04,14.69
2017-04-05,14.53
2017-04-06,14.39
2017-04-07,14.29
2017-04-10,14.36
2017-04-11,14.31
2017-04-12,14.42
2017-04-13,14.3
2017-04-17,14.4
2017-04-18,14.44
2017-04-19,14.54
2017-04-20,14.65
2017-04-21,14.63
2017-04-24,14.71
2017-04-25,14.66
2017-04-26,15.82
2017-04-27,16.61
2017-04-28,16.48
2017-05-01,17.54
2017-05-02,18.24
2017-05-03,18.57
2017-05-04,18.48
2017-05-05,18.69
2017-05-08,18.31
2017-05-09,18.37
2017-05-10,18.54
2017-05-11,18.39
2017-05-12,18.61
2017-05-15,19.23
2017-05-16,19.49
2017-05-17,18.28
2017-05-18,18.51
2017-05-19,18.35
2017-05-22,18.43
2017-05-23,18.15
2017-05-24,17.98
2017-05-25,17.95
2017-05-26,18.23
2017-05-30,18.43
2017-05-31,18.32
2017-06-01,18.53
2017-06-02,18.31
2017-06-05,18.23
2017-06-06,17.57
2017-06-07,17.44
2017-06-08,17.59
2017-06-09,16.9
2017-06-12,17.04
2017-06-13,16.97
2017-06-14,16.76
2017-06-15,16.83
2017-06-16,16.67
2017-06-19,17.06
2017-06-20,16.91
2017-06-21,17.78
2017-06-22,18.15
2017-06-23,18.5
2017-06-26,18.29
2017-06-27,18.12
2017-06-28,17.95
2017-06-29,17.65
2017-06-30,17.87
2017-07-03,17.65
2017-07-05,17.82
2017-07-06,17.92
2017-07-07,18.02
2017-07-10,18.08
2017-07-11,18.64
2017-07-12,19.25
2017-07-13,19.32
2017-07-14,19.64
2017-07-17,19.94
2017-07-18,19.98
2017-07-19,20.12
2017-07-20,20.53
2017-07-21,20.11
2017-07-24,20.0
2017-07-25,19.97
2017-07-26,19.61
2017-07-27,16.84
2017-07-28,16.75
2017-07-31,16.09
2017-08-01,16.21
2017-08-02,16.07
2017-08-03,16.18
2017-08-04,16.29
2017-08-07,16.4
2017-08-08,16.15
2017-08-09,16.14
2017-08-10,15.75
2017-08-11,15.92
2017-08-14,16.09
2017-08-15,15.95
2017-08-16,16.16
2017-08-17,15.87
2017-08-18,15.99
2017-08-21,16.11
2017-08-22,16.63
2017-08-23,16.96
2017-08-24,16.89
2017-08-25,16.65
2017-08-28,16.77
2017-08-29,16.93
2017-08-30,16.93
2017-08-31,16.91
2017-09-01,16.86
2017-09-05,16.65
2017-09-06,16.83
2017-09-07,17.22
2017-09-08,17.45
2017-09-11,17.66
2017-09-12,18.17
2017-09-13,18.2
2017-09-14,18.21
2017-09-15,18.01
2017-09-18,17.6
2017-09-19,17.76
2017-09-20,17.62
2017-09-21,17.58
2017-09-22,17.61
2017-09-25,16.98
2017-09-26,16.59
2017-09-27,16.95
2017-09-28,16.85
2017-09-29,16.87
2017-10-02,17.09
2017-10-03,17.59
2017-10-04,17.75
2017-10-05,18.25
2017-10-06,17.85
2017-10-09,17.67
2017-10-10,17.41
2017-10-11,17.73
2017-10-12,18.45
2017-10-13,18.63
2017-10-16,18.33
2017-10-17,18.28
2017-10-18,18.02
2017-10-19,17.89
2017-10-20,17.87
2017-10-23,17.37
2017-10-24,17.25
2017-10-25,17.14
2017-10-26,20.31
2017-10-27,21.68
2017-10-30,21.25
2017-10-31,20.62
2017-11-01,20.61
2017-11-02,19.71
2017-11-03,19.9
2017-11-06,19.39
2017-11-07,19.66
2017-11-08,19.59
2017-11-09,19.9
2017-11-10,20.32
2017-11-13,20.17
2017-11-14,20.05
2017-11-15,19.91
2017-11-16,20.36
2017-11-17,20.76
2017-11-20,21.13
2017-11-21,21.88
2017-11-22,22.27
2017-11-24,22.42
2017-11-27,21.82
2017-11-28,21.83
2017-11-29,20.79
2017-11-30,20.58
2017-12-01,20.71
2017-12-04,20.4
2017-12-05,20.77
2017-12-06,21.09
2017-12-07,21.01
2017-12-08,21.1
2017-12-11,22.05
2017-12-12,21.65
2017-12-13,21.66
2017-12-14,22.58
2017-12-15,22.23
2017-12-18,24.68
2017-12-19,25.08
2017-12-20,25.2
2017-12-21,25.05
2017-12-22,24.46
2017-12-26,24.26
2017-12-27,24.23
2017-12-28,24.31
2017-12-29,24.01
2018-01-02,24.51
2018-01-03,24.45
2018-01-04,23.99
2018-01-05,24.32
2018-01-08,24.59
2018-01-09,24.17
2018-01-10,24.25
2018-01-11,24.35
2018-01-12,25.41
2018-01-16,24.66
2018-01-17,24.56
2018-01-18,24.04
2018-01-19,23.66
2018-01-22,23.32
2018-01-23,22.75
2018-01-24,22.37
2018-01-25,22.16
2018-01-26,24.27
2018-01-29,25.18
2018-01-30,25.62
2018-01-31,25.81
2018-02-01,27.14
2018-02-02,25.92
2018-02-05,25.13
2018-02-06,25.24
2018-02-07,26.91
2018-02-08,30.18
2018-02-09,31.51
2018-02-12,30.95
2018-02-13,33.44
2018-02-14,33.75
2018-02-15,33.61
2018-02-16,33.06
2018-02-20,32.84
2018-02-21,33.38
2018-02-22,32.11
2018-02-23,32.66
2018-02-26,32.16
2018-02-27,31.32
2018-02-28,31.86
2018-03-01,32.24
2018-03-02,33.0
2018-03-05,34.58
2018-03-06,34.43
2018-03-07,35.76
2018-03-08,34.85
2018-03-09,35.35
2018-03-12,35.5
2018-03-13,34.11
2018-03-14,36.6
2018-03-15,35.8
2018-03-16,35.58
2018-03-19,34.98
2018-03-20,31.35
2018-03-21,32.73
2018-03-22,31.2
2018-03-23,31.03
2018-03-26,31.91
2018-03-27,28.07
2018-03-28,28.45
2018-03-29,29.01
2018-04-02,28.04
2018-04-03,27.54
2018-04-04,28.25
2018-04-05,28.64
2018-04-06,28.1
2018-04-09,28.01
2018-04-10,29.53
2018-04-11,29.39
2018-04-12,29.0
2018-04-13,28.76
2018-04-16,28.58
2018-04-17,31.84
2018-04-18,31.54
2018-04-19,31.54
2018-04-20,31.91
2018-04-23,31.22
2018-04-24,30.47
2018-04-25,29.75
2018-04-26,30.27
2018-04-27,29.0
2018-04-30,30.31
2018-05-01,30.3
2018-05-02,30.55
2018-05-03,30.67
2018-05-04,31.04
2018-05-07,31.33
2018-05-08,31.85
2018-05-09,32.46
2018-05-10,32.87
2018-05-11,32.75
2018-05-14,33.39
2018-05-15,32.75
2018-05-16,32.77
2018-05-17,32.58
2018-05-18,32.63
2018-05-21,33.63
2018-05-22,32.86
2018-05-23,33.42
2018-05-24,33.52
2018-05-25,33.63
2018-05-29,34.04
2018-05-30,34.36
2018-05-31,34.7
2018-06-01,36.65
2018-06-04,37.88
2018-06-05,39.8
2018-06-06,40.1
2018-06-07,39.7
2018-06-08,41.21
2018-06-11,41.42
2018-06-12,43.49
2018-06-13,44.07
2018-06-14,46.76
2018-06-15,45.8
2018-06-18,46.0
2018-06-19,44.95
2018-06-20,46.13
2018-06-21,45.24
2018-06-22,45.88
2018-06-25,44.17
2018-06-26,44.84
2018-06-27,43.7
2018-06-28,44.79
2018-06-29,43.67
2018-07-02,44.98
2018-07-03,43.89
2018-07-05,45.06
2018-07-06,46.65
2018-07-09,44.14
2018-07-10,43.75
2018-07-11,43.87
2018-07-12,45.26
2018-07-13,44.49
2018-07-16,44.26
2018-07-17,44.71
2018-07-18,43.34
2018-07-19,43.44
2018-07-20,43.42
2018-07-23,43.31
2018-07-24,42.17
2018-07-25,44.22
2018-07-26,42.94
2018-07-27,34.12
2018-07-30,31.38
2018-07-31,31.87
2018-08-01,31.91
2018-08-02,32.82
2018-08-03,31.96
2018-08-06,32.98
2018-08-07,32.67
2018-08-08,31.84
2018-08-09,31.96
2018-08-10,32.01
2018-08-13,32.8
2018-08-14,33.19
2018-08-15,32.38
2018-08-16,32.83
2018-08-17,32.73
2018-08-20,32.6
2018-08-21,33.69
2018-08-22,33.81
2018-08-23,33.88
2018-08-24,34.28
2018-08-27,35.89
2018-08-28,35.49
2018-08-29,35.35
2018-08-30,35.64
2018-08-31,35.18
2018-09-04,34.84
2018-09-05,32.73
2018-09-06,30.81
2018-09-07,30.49
2018-09-10,30.54
2018-09-11,30.89
2018-09-12,29.75
2018-09-13,30.39
2018-09-14,30.12
2018-09-17,28.86
2018-09-18,29.22
2018-09-19,29.52
2018-09-20,29.85
2018-09-21,28.5
2018-09-24,28.6
2018-09-25,29.11
2018-09-26,29.01
2018-09-27,29.42
2018-09-28,28.46
2018-10-01,28.31
2018-10-02,28.19
2018-10-03,29.01
2018-10-04,28.23
2018-10-05,28.39
2018-10-08,28.45
2018-10-09,29.27
2018-10-10,26.79
2018-10-11,27.0
2018-10-12,27.99
2018-10-15,28.61
2018-10-16,29.87
2018-10-17,29.55
2018-10-18,29.29
2018-10-19,28.83
2018-10-22,29.18
2018-10-23,28.77
2018-10-24,27.54
2018-10-25,31.8
2018-10-26,32.36
2018-10-29,32.39
2018-10-30,33.86
2018-10-31,34.75
2018-11-01,34.62
2018-11-02,34.3
2018-11-05,34.02
2018-11-06,34.42
2018-11-07,34.99
2018-11-08,34.18
2018-11-09,34.08
2018-11-12,32.01
2018-11-13,32.49
2018-11-14,32.91
2018-11-15,33.15
2018-11-16,33.67
2018-11-19,31.98
2018-11-20,31.06
2018-11-21,31.61
2018-11-23,31.12
