Date,Close
2007-08-22,27.57
2007-08-23,27.35
2007-08-24,27.84
2007-08-27,27.85
2007-08-28,27.53
2007-08-29,27.98
2007-08-30,27.91
2007-08-31,28.11
2007-09-04,28.16
2007-09-05,27.92
2007-09-06,27.83
2007-09-07,27.54
2007-09-10,27.68
2007-09-11,28.2
2007-09-12,28.12
2007-09-13,27.76
2007-09-14,27.59
2007-09-17,27.42
2007-09-18,27.87
2007-09-19,28.18
2007-09-20,28.23
2007-09-21,28.3
2007-09-24,28.32
2007-09-25,28.25
2007-09-26,28.5
2007-09-27,28.44
2007-09-28,28.32
2007-10-01,28.92
2007-10-02,28.83
2007-10-03,28.92
2007-10-04,29.0
2007-10-05,29.28
2007-10-08,29.17
2007-10-09,29.44
2007-10-10,29.32
2007-10-11,29.46
2007-10-12,29.38
2007-10-15,28.85
2007-10-16,28.63
2007-10-17,28.27
2007-10-18,28.29
2007-10-19,27.78
2007-10-22,27.92
2007-10-23,28.06
2007-10-24,28.12
2007-10-25,28.08
2007-10-26,28.12
2007-10-29,27.96
2007-10-30,27.77
2007-10-31,28.05
2007-11-01,27.76
2007-11-02,28.08
2007-11-05,27.83
2007-11-06,27.84
2007-11-07,26.95
2007-11-08,26.96
2007-11-09,26.8
2007-11-12,26.77
2007-11-13,27.12
2007-11-14,27.02
2007-11-15,27.21
2007-11-16,26.9
2007-11-19,26.9
2007-11-20,26.92
2007-11-21,26.47
2007-11-23,26.58
2007-11-26,26.21
2007-11-27,26.13
2007-11-28,26.2
2007-11-29,26.11
2007-11-30,26.19
2007-12-03,26.18
2007-12-04,26.49
2007-12-05,26.82
2007-12-06,27.39
2007-12-07,27.07
2007-12-10,27.19
2007-12-11,27.03
2007-12-12,26.94
2007-12-13,27.28
2007-12-14,26.88
2007-12-17,26.74
2007-12-18,27.15
2007-12-19,27.43
2007-12-20,28.0
2007-12-21,28.65
2007-12-24,28.76
2007-12-26,28.39
2007-12-27,28.21
2007-12-28,28.1
2007-12-31,28.04
2008-01-02,27.95
2008-01-03,27.79
2008-01-04,27.67
2008-01-07,27.94
2008-01-08,28.0
2008-01-09,28.17
2008-01-10,28.02
2008-01-11,27.85
2008-01-14,27.87
2008-01-15,27.56
2008-01-16,27.6
2008-01-17,27.36
2008-01-18,26.92
2008-01-22,26.91
2008-01-23,27.85
2008-01-24,27.56
2008-01-25,27.47
2008-01-28,27.8
2008-01-29,28.32
2008-01-30,28.25
2008-01-31,28.74
2008-02-01,28.96
2008-02-04,28.91
2008-02-05,28.33
2008-02-06,27.63
2008-02-07,27.46
2008-02-08,27.51
2008-02-11,27.96
2008-02-12,27.63
2008-02-13,27.51
2008-02-14,27.24
2008-02-15,27.04
2008-02-19,27.23
2008-02-20,27.65
2008-02-21,26.85
2008-02-22,26.72
2008-02-25,27.07
2008-02-26,27.13
2008-02-27,26.74
2008-02-28,26.61
2008-02-29,26.0
2008-03-03,26.07
2008-03-04,26.34
2008-03-05,26.24
2008-03-06,25.87
2008-03-07,25.78
2008-03-10,25.6
2008-03-11,26.03
2008-03-12,25.67
2008-03-13,25.85
2008-03-14,25.9
2008-03-17,25.61
2008-03-18,25.68
2008-03-19,25.28
2008-03-20,25.22
2008-03-24,25.11
2008-03-25,25.1
2008-03-26,25.24
2008-03-27,25.3
2008-03-28,25.09
2008-03-31,25.5
2008-04-01,26.27
2008-04-02,26.78
2008-04-03,26.72
2008-04-04,26.44
2008-04-07,26.82
2008-04-08,26.41
2008-04-09,26.25
2008-04-10,26.05
2008-04-11,25.81
2008-04-14,25.83
2008-04-15,26.3
2008-04-16,27.07
2008-04-17,27.11
2008-04-18,27.36
2008-04-21,27.01
2008-04-22,26.81
2008-04-23,27.31
2008-04-24,27.64
2008-04-25,27.88
2008-04-28,28.07
2008-04-29,27.94
2008-04-30,27.68
2008-05-01,28.1
2008-05-02,27.97
2008-05-05,28.44
2008-05-06,28.43
2008-05-07,27.9
2008-05-08,27.65
2008-05-09,27.86
2008-05-12,27.98
2008-05-13,28.13
2008-05-14,28.54
2008-05-15,28.34
2008-05-16,28.28
2008-05-19,28.21
2008-05-20,28.05
2008-05-21,28.02
2008-05-22,27.53
2008-05-23,27.31
2008-05-27,27.54
2008-05-28,27.56
2008-05-29,27.4
2008-05-30,27.39
2008-06-02,27.16
2008-06-03,27.06
2008-06-04,27.22
2008-06-05,27.41
2008-06-06,27.06
2008-06-09,27.15
2008-06-10,27.05
2008-06-11,26.85
2008-06-12,26.55
2008-06-13,26.43
2008-06-16,26.67
2008-06-17,26.88
2008-06-18,27.32
2008-06-19,27.44
2008-06-20,27.2
2008-06-23,27.67
2008-06-24,27.28
2008-06-25,27.44
2008-06-26,27.08
2008-06-27,26.8
2008-06-30,27.57
2008-07-01,27.75
2008-07-02,27.73
2008-07-03,27.21
2008-07-07,26.65
2008-07-08,26.58
2008-07-09,26.72
2008-07-10,26.78
2008-07-11,26.68
2008-07-14,26.26
2008-07-15,26.01
2008-07-16,25.82
2008-07-17,25.49
2008-07-18,25.51
2008-07-21,25.51
2008-07-22,25.75
2008-07-23,26.01
2008-07-24,25.95
2008-07-25,25.77
2008-07-28,25.89
2008-07-29,25.64
2008-07-30,26.35
2008-07-31,26.47
2008-08-01,26.45
2008-08-04,26.22
2008-08-05,27.02
2008-08-06,26.98
2008-08-07,26.57
2008-08-08,26.7
2008-08-11,27.08
2008-08-12,26.72
2008-08-13,26.8
2008-08-14,26.71
2008-08-15,26.69
2008-08-18,27.19
2008-08-19,27.42
2008-08-20,27.54
2008-08-21,27.05
2008-08-22,26.85
2008-08-25,26.69
2008-08-26,27.04
2008-08-27,27.41
2008-08-28,27.61
2008-08-29,27.54
2008-09-02,27.5
2008-09-03,27.27
2008-09-04,26.74
2008-09-05,26.46
2008-09-08,26.51
2008-09-09,26.12
2008-09-10,26.37
2008-09-11,26.86
2008-09-12,27.45
2008-09-15,26.47
2008-09-16,26.57
2008-09-17,25.86
2008-09-18,28.25
2008-09-19,28.1
2008-09-22,27.09
2008-09-23,26.84
2008-09-24,27.11
2008-09-25,27.21
2008-09-26,27.46
2008-09-29,26.31
2008-09-30,26.62
2008-10-01,27.37
2008-10-02,27.88
2008-10-03,27.62
2008-10-06,27.48
2008-10-07,26.85
2008-10-08,25.62
2008-10-09,22.32
2008-10-10,21.17
2008-10-13,23.12
2008-10-14,24.08
2008-10-15,21.61
2008-10-16,21.95
2008-10-17,21.56
2008-10-20,22.84
2008-10-21,22.51
2008-10-22,22.3
2008-10-23,22.46
2008-10-24,22.11
2008-10-27,21.48
2008-10-28,23.02
2008-10-29,23.2
2008-10-30,23.92
2008-10-31,24.27
2008-11-03,23.83
2008-11-04,23.7
2008-11-05,23.58
2008-11-06,23.17
2008-11-07,23.59
2008-11-10,23.89
2008-11-11,23.28
2008-11-12,23.21
2008-11-13,23.5
2008-11-14,22.32
2008-11-17,23.83
2008-11-18,23.81
2008-11-19,23.48
2008-11-20,23.49
2008-11-21,24.03
2008-11-24,24.84
2008-11-25,24.01
2008-11-26,24.49
2008-11-28,24.93
2008-12-01,23.2
2008-12-02,23.24
2008-12-03,23.91
2008-12-04,23.15
2008-12-05,24.06
2008-12-08,22.92
2008-12-09,22.5
2008-12-10,22.39
2008-12-11,22.61
2008-12-12,23.47
2008-12-15,23.05
2008-12-16,23.5
2008-12-17,23.28
2008-12-18,23.26
2008-12-19,23.17
2008-12-22,23.64
2008-12-23,23.28
2008-12-24,23.43
2008-12-26,23.57
2008-12-29,23.32
2008-12-30,23.73
2008-12-31,23.7
2009-01-02,24.16
2009-01-05,23.95
2009-01-06,24.04
2009-01-07,23.82
2009-01-08,23.65
2009-01-09,23.95
2009-01-12,24.12
2009-01-13,23.98
2009-01-14,23.77
2009-01-15,23.91
2009-01-16,24.43
2009-01-20,23.57
2009-01-21,24.13
2009-01-22,23.83
2009-01-23,23.92
2009-01-26,24.32
2009-01-27,24.69
2009-01-28,24.84
2009-01-29,24.79
2009-01-30,24.55
2009-02-02,25.05
2009-02-03,24.89
2009-02-04,24.63
2009-02-05,25.4
2009-02-06,25.95
2009-02-09,25.9
2009-02-10,25.67
2009-02-11,25.24
2009-02-12,25.4
2009-02-13,25.19
2009-02-17,24.35
2009-02-18,23.92
2009-02-19,23.96
2009-02-20,23.31
2009-02-23,22.62
2009-02-24,22.51
2009-02-25,22.52
2009-02-26,22.19
2009-02-27,21.83
2009-03-02,21.1
2009-03-03,20.24
2009-03-04,20.99
2009-03-05,20.2
2009-03-06,20.73
2009-03-09,20.24
2009-03-10,21.16
2009-03-11,20.88
2009-03-12,21.11
2009-03-13,21.55
2009-03-16,21.7
2009-03-17,22.53
2009-03-18,22.93
2009-03-19,23.29
2009-03-20,23.11
2009-03-23,23.59
2009-03-24,23.08
2009-03-25,23.39
2009-03-26,23.93
2009-03-27,23.62
2009-03-30,23.41
2009-03-31,23.12
2009-04-01,22.95
2009-04-02,23.09
2009-04-03,23.17
2009-04-06,22.98
2009-04-07,22.81
2009-04-08,22.83
2009-04-09,23.08
2009-04-13,22.97
2009-04-14,22.83
2009-04-15,22.83
2009-04-16,23.36
2009-04-17,23.49
2009-04-20,23.32
2009-04-21,23.47
2009-04-22,23.47
2009-04-23,23.43
2009-04-24,23.31
2009-04-27,23.82
2009-04-28,24.22
2009-04-29,24.84
2009-04-30,24.71
2009-05-01,25.64
2009-05-04,26.37
2009-05-05,25.83
2009-05-06,25.72
2009-05-07,25.87
2009-05-08,25.65
2009-05-11,25.84
2009-05-12,25.8
2009-05-13,24.99
2009-05-14,24.53
2009-05-15,24.13
2009-05-18,24.51
2009-05-19,24.65
2009-05-20,24.62
2009-05-21,24.06
2009-05-22,23.91
2009-05-26,24.46
2009-05-27,23.65
2009-05-28,23.81
2009-05-29,24.0
2009-06-01,24.39
2009-06-02,24.76
2009-06-03,24.64
2009-06-04,24.49
2009-06-05,24.61
2009-06-08,24.82
2009-06-09,24.68
2009-06-10,24.62
2009-06-11,24.95
2009-06-12,25.34
2009-06-15,24.84
2009-06-16,24.72
2009-06-17,24.79
2009-06-18,25.31
2009-06-19,25.15
2009-06-22,25.16
2009-06-23,24.87
2009-06-24,24.79
2009-06-25,25.11
2009-06-26,25.1
2009-06-29,25.31
2009-06-30,25.04
2009-07-01,25.74
2009-07-02,25.0
2009-07-06,25.35
2009-07-07,24.88
2009-07-08,24.78
2009-07-09,24.81
2009-07-10,24.65
2009-07-13,24.94
2009-07-14,24.97
2009-07-15,25.35
2009-07-16,25.86
2009-07-17,25.79
2009-07-20,26.02
2009-07-21,26.29
2009-07-22,26.18
2009-07-23,26.57
2009-07-24,26.99
2009-07-27,26.93
2009-07-28,27.16
2009-07-29,26.94
2009-07-30,27.18
2009-07-31,27.16
2009-08-03,27.61
2009-08-04,27.69
2009-08-05,27.6
2009-08-06,27.36
2009-08-07,27.71
2009-08-10,27.84
2009-08-11,27.82
2009-08-12,27.9
2009-08-13,28.0
2009-08-14,27.75
2009-08-17,27.59
2009-08-18,27.63
2009-08-19,27.82
2009-08-20,27.87
2009-08-21,27.9
2009-08-24,28.16
2009-08-25,27.89
2009-08-26,27.86
2009-08-27,27.89
2009-08-28,27.53
2009-08-31,27.24
2009-09-01,27.06
2009-09-02,27.08
2009-09-03,27.17
2009-09-04,27.23
2009-09-08,27.66
2009-09-09,27.67
2009-09-10,27.65
2009-09-11,27.92
2009-09-14,28.03
2009-09-15,28.39
2009-09-16,28.8
2009-09-17,28.57
2009-09-18,28.51
2009-09-21,28.43
2009-09-22,28.19
2009-09-23,28.24
2009-09-24,28.19
2009-09-25,28.1
2009-09-28,28.31
2009-09-29,28.27
2009-09-30,28.18
2009-10-01,27.78
2009-10-02,27.68
2009-10-05,28.45
2009-10-06,28.52
2009-10-07,28.74
2009-10-08,28.91
2009-10-09,28.9
2009-10-12,29.21
2009-10-13,29.0
2009-10-14,28.82
2009-10-15,29.01
2009-10-16,28.9
2009-10-19,29.3
2009-10-20,29.34
2009-10-21,29.05
2009-10-22,29.11
2009-10-23,28.68
2009-10-26,28.69
2009-10-27,28.84
2009-10-28,28.59
2009-10-29,28.88
2009-10-30,27.85
2009-11-02,27.71
2009-11-03,28.14
2009-11-04,28.13
2009-11-05,28.98
2009-11-06,28.8
2009-11-09,29.17
2009-11-10,29.24
2009-11-11,28.67
2009-11-12,28.12
2009-11-13,28.25
2009-11-16,28.82
2009-11-17,29.1
2009-11-18,28.83
2009-11-19,27.93
2009-11-20,28.08
2009-11-23,27.99
2009-11-24,28.23
2009-11-25,28.27
2009-11-27,27.85
2009-11-30,27.39
2009-12-01,27.53
2009-12-02,27.64
2009-12-03,28.02
2009-12-04,28.24
2009-12-07,28.77
2009-12-08,28.46
2009-12-09,28.26
2009-12-10,28.64
2009-12-11,28.99
2009-12-14,29.31
2009-12-15,29.37
2009-12-16,29.37
2009-12-17,29.29
2009-12-18,29.35
2009-12-21,29.52
2009-12-22,29.69
2009-12-23,29.82
2009-12-24,30.03
2009-12-28,30.06
2009-12-29,30.06
2009-12-30,29.88
2009-12-31,29.4
2010-01-04,29.52
2010-01-05,29.21
2010-01-06,29.22
2010-01-07,28.94
2010-01-08,28.46
2010-01-11,28.63
2010-01-12,28.62
2010-01-13,28.87
2010-01-14,28.89
2010-01-15,28.66
2010-01-19,29.1
2010-01-20,28.85
2010-01-21,28.55
2010-01-22,28.13
2010-01-25,28.43
2010-01-26,28.27
2010-01-27,28.04
2010-01-28,28.02
2010-01-29,27.62
2010-02-01,27.6
2010-02-02,27.67
2010-02-03,27.61
2010-02-04,27.36
2010-02-05,27.26
2010-02-08,26.7
2010-02-09,26.76
2010-02-10,26.52
2010-02-11,26.95
2010-02-12,26.99
2010-02-16,27.22
2010-02-17,27.4
2010-02-18,27.38
2010-02-19,27.78
2010-02-22,28.0
2010-02-23,27.48
2010-02-24,27.42
2010-02-25,27.33
2010-02-26,27.46
2010-03-01,27.93
2010-03-02,28.05
2010-03-03,28.3
2010-03-04,28.25
2010-03-05,28.6
2010-03-08,28.61
2010-03-09,28.45
2010-03-10,28.64
2010-03-11,28.72
2010-03-12,28.8
2010-03-15,28.8
2010-03-16,28.91
2010-03-17,29.07
2010-03-18,29.02
2010-03-19,28.95
2010-03-22,28.95
2010-03-23,28.99
2010-03-24,28.83
2010-03-25,28.38
2010-03-26,28.31
2010-03-29,28.62
2010-03-30,28.87
2010-03-31,28.57
2010-04-01,28.95
2010-04-05,29.39
2010-04-06,29.64
2010-04-07,29.54
2010-04-08,29.13
2010-04-09,29.33
2010-04-12,29.22
2010-04-13,29.04
2010-04-14,29.01
2010-04-15,29.17
2010-04-16,29.22
2010-04-19,29.18
2010-04-20,29.39
2010-04-21,29.4
2010-04-22,29.53
2010-04-23,29.98
2010-04-26,29.91
2010-04-27,29.46
2010-04-28,29.76
2010-04-29,29.79
2010-04-30,29.58
2010-05-03,29.84
2010-05-04,29.29
2010-05-05,28.79
2010-05-06,27.77
2010-05-07,27.33
2010-05-10,28.13
2010-05-11,28.55
2010-05-12,28.86
2010-05-13,28.76
2010-05-14,28.11
2010-05-17,28.48
2010-05-18,28.48
2010-05-19,28.37
2010-05-20,27.17
2010-05-21,26.8
2010-05-24,26.75
2010-05-25,26.41
2010-05-26,26.55
2010-05-27,27.13
2010-05-28,27.12
2010-06-01,26.46
2010-06-02,27.1
2010-06-03,27.41
2010-06-04,26.5
2010-06-07,26.72
2010-06-08,27.2
2010-06-09,26.93
2010-06-10,27.9
2010-06-11,27.88
2010-06-14,27.86
2010-06-15,28.14
2010-06-16,28.38
2010-06-17,28.49
2010-06-18,28.67
2010-06-21,28.59
2010-06-22,28.1
2010-06-23,27.71
2010-06-24,27.62
2010-06-25,27.9
2010-06-28,28.0
2010-06-29,27.21
2010-06-30,27.04
2010-07-01,26.86
2010-07-02,26.82
2010-07-06,26.97
2010-07-07,27.83
2010-07-08,28.41
2010-07-09,28.39
2010-07-12,28.45
2010-07-13,28.86
2010-07-14,28.72
2010-07-15,28.75
2010-07-16,28.02
2010-07-19,28.46
2010-07-20,28.71
2010-07-21,28.43
2010-07-22,28.88
2010-07-23,28.98
2010-07-26,29.49
2010-07-27,29.81
2010-07-28,29.42
2010-07-29,29.21
2010-07-30,29.0
2010-08-02,29.3
2010-08-03,29.35
2010-08-04,29.53
2010-08-05,29.6
2010-08-06,29.55
2010-08-09,29.36
2010-08-10,29.16
2010-08-11,28.9
2010-08-12,28.63
2010-08-13,28.68
2010-08-16,28.75
2010-08-17,29.0
2010-08-18,29.02
2010-08-19,28.57
2010-08-20,28.7
2010-08-23,28.48
2010-08-24,28.32
2010-08-25,28.56
2010-08-26,28.54
2010-08-27,28.88
2010-08-30,28.25
2010-08-31,28.3
2010-09-01,28.96
2010-09-02,28.93
2010-09-03,29.14
2010-09-07,28.64
2010-09-08,28.46
2010-09-09,28.75
2010-09-10,28.79
2010-09-13,29.03
2010-09-14,28.89
2010-09-15,28.76
2010-09-16,28.56
2010-09-17,28.49
2010-09-20,28.75
2010-09-21,28.6
2010-09-22,28.7
2010-09-23,28.58
2010-09-24,28.94
2010-09-27,29.04
2010-09-28,29.06
2010-09-29,29.01
2010-09-30,29.25
2010-10-01,29.4
2010-10-04,29.4
2010-10-05,29.43
2010-10-06,29.37
2010-10-07,29.4
2010-10-08,29.34
2010-10-11,29.29
2010-10-12,29.12
2010-10-13,29.23
2010-10-14,29.18
2010-10-15,29.18
2010-10-18,29.27
2010-10-19,29.18
2010-10-20,29.3
2010-10-21,29.14
2010-10-22,29.11
2010-10-25,29.1
2010-10-26,29.2
2010-10-27,29.31
2010-10-28,29.49
2010-10-29,29.45
2010-11-01,29.53
2010-11-02,29.79
2010-11-03,29.81
2010-11-04,30.39
2010-11-05,30.41
2010-11-08,30.31
2010-11-09,30.14
2010-11-10,30.34
2010-11-11,30.21
2010-11-12,30.17
2010-11-15,30.36
2010-11-16,30.04
2010-11-17,30.16
2010-11-18,30.54
2010-11-19,30.49
2010-11-22,30.63
2010-11-23,29.97
2010-11-24,30.34
2010-11-26,30.17
2010-11-29,30.23
2010-11-30,30.07
2010-12-01,30.58
2010-12-02,31.38
2010-12-03,31.72
2010-12-06,31.59
2010-12-07,31.21
2010-12-08,30.91
2010-12-09,30.81
2010-12-10,31.1
2010-12-13,31.19
2010-12-14,31.49
2010-12-15,31.05
2010-12-16,31.31
2010-12-17,31.34
2010-12-20,31.17
2010-12-21,31.22
2010-12-22,31.35
2010-12-23,31.27
2010-12-27,31.34
2010-12-28,31.36
2010-12-29,31.47
2010-12-30,31.44
2010-12-31,31.2
2011-01-03,31.52
2011-01-04,31.51
2011-01-05,31.62
2011-01-06,31.71
2011-01-07,31.74
2011-01-10,31.6
2011-01-11,31.94
2011-01-12,32.19
2011-01-13,32.59
2011-01-14,33.14
2011-01-18,33.58
2011-01-19,33.46
2011-01-20,32.95
2011-01-21,32.99
2011-01-24,33.0
2011-01-25,33.03
2011-01-26,33.02
2011-01-27,32.97
2011-01-28,32.62
2011-01-31,32.6
2011-02-01,33.18
2011-02-02,33.1
2011-02-03,33.12
2011-02-04,33.07
2011-02-07,33.25
2011-02-08,33.49
2011-02-09,33.38
2011-02-10,33.72
2011-02-11,33.5
2011-02-14,33.5
2011-02-15,33.6
2011-02-16,33.77
2011-02-17,33.93
2011-02-18,34.13
2011-02-22,34.07
2011-02-23,33.37
2011-02-24,33.26
2011-02-25,33.73
2011-02-28,33.82
2011-03-01,33.86
2011-03-02,34.29
2011-03-03,34.85
2011-03-04,34.75
2011-03-07,34.83
2011-03-08,34.98
2011-03-09,34.79
2011-03-10,33.92
2011-03-11,34.01
2011-03-14,33.74
2011-03-15,33.07
2011-03-16,32.95
2011-03-17,33.01
2011-03-18,33.23
2011-03-21,33.9
2011-03-22,33.67
2011-03-23,33.54
2011-03-24,33.57
2011-03-25,33.67
2011-03-28,33.53
2011-03-29,33.5
2011-03-30,33.85
2011-03-31,34.1
2011-04-01,34.58
2011-04-04,34.45
2011-04-05,34.46
2011-04-06,34.37
2011-04-07,33.86
2011-04-08,33.8
2011-04-11,33.51
2011-04-12,32.94
2011-04-13,33.01
2011-04-14,33.19
2011-04-15,33.54
2011-04-18,32.95
2011-04-19,32.97
2011-04-20,33.48
2011-04-21,33.42
2011-04-25,33.45
2011-04-26,34.0
2011-04-27,34.42
2011-04-28,34.7
2011-04-29,34.89
2011-05-02,34.61
2011-05-03,34.62
2011-05-04,34.22
2011-05-05,33.95
2011-05-06,34.2
2011-05-09,34.61
2011-05-10,34.94
2011-05-11,34.41
2011-05-12,34.35
2011-05-13,34.05
2011-05-16,33.65
2011-05-17,33.37
2011-05-18,33.56
2011-05-19,33.84
2011-05-20,33.83
2011-05-23,33.08
2011-05-24,32.9
2011-05-25,32.93
2011-05-26,32.99
2011-05-27,33.09
2011-05-31,33.35
2011-06-01,32.9
2011-06-02,32.5
2011-06-03,31.91
2011-06-06,31.78
2011-06-07,31.74
2011-06-08,31.86
2011-06-09,31.72
2011-06-10,31.58
2011-06-13,31.45
2011-06-14,31.66
2011-06-15,31.34
2011-06-16,31.5
2011-06-17,31.91
2011-06-20,32.17
2011-06-21,32.31
2011-06-22,32.29
2011-06-23,32.26
2011-06-24,32.3
2011-06-27,32.35
2011-06-28,32.61
2011-06-29,33.1
2011-06-30,33.25
2011-07-01,33.85
2011-07-05,33.65
2011-07-06,33.99
2011-07-07,34.0
2011-07-08,33.95
2011-07-11,33.66
2011-07-12,33.72
2011-07-13,33.75
2011-07-14,33.59
2011-07-15,33.87
2011-07-18,33.26
2011-07-19,33.42
2011-07-20,33.88
2011-07-21,34.27
2011-07-22,34.17
2011-07-25,34.22
2011-07-26,33.95
2011-07-27,33.79
2011-07-28,33.58
2011-07-29,33.43
2011-08-01,33.91
2011-08-02,33.66
2011-08-03,33.7
2011-08-04,31.99
2011-08-05,31.33
2011-08-08,28.87
2011-08-09,30.97
2011-08-10,29.97
2011-08-11,31.21
2011-08-12,31.19
2011-08-15,32.2
2011-08-16,32.28
2011-08-17,32.48
2011-08-18,31.94
2011-08-19,31.75
2011-08-22,31.5
2011-08-23,32.2
2011-08-24,33.17
2011-08-25,32.43
2011-08-26,32.25
2011-08-29,33.04
2011-08-30,33.41
2011-08-31,33.54
2011-09-01,34.15
2011-09-02,33.46
2011-09-06,32.97
2011-09-07,33.91
2011-09-08,34.32
2011-09-09,33.07
2011-09-12,33.08
2011-09-13,32.92
2011-09-14,33.42
2011-09-15,33.65
2011-09-16,33.5
2011-09-19,33.47
2011-09-20,33.65
2011-09-21,32.32
2011-09-22,31.08
2011-09-23,31.33
2011-09-26,31.44
2011-09-27,32.01
2011-09-28,31.05
2011-09-29,32.95
2011-09-30,32.45
2011-10-03,30.97
2011-10-04,31.21
2011-10-05,32.01
2011-10-06,32.49
2011-10-07,31.94
2011-10-10,32.63
2011-10-11,32.48
2011-10-12,32.57
2011-10-13,33.08
2011-10-14,33.16
2011-10-17,32.83
2011-10-18,33.33
2011-10-19,33.22
2011-10-20,33.16
2011-10-21,33.62
2011-10-24,34.0
2011-10-25,33.4
2011-10-26,33.66
2011-10-27,34.97
2011-10-28,34.89
2011-10-31,34.32
2011-11-01,33.03
2011-11-02,33.8
2011-11-03,34.88
2011-11-04,35.1
2011-11-07,35.13
2011-11-08,35.4
2011-11-09,34.32
2011-11-10,34.54
2011-11-11,35.35
2011-11-14,34.92
2011-11-15,35.02
2011-11-16,35.01
2011-11-17,34.89
2011-11-18,34.95
2011-11-21,34.1
2011-11-22,33.11
2011-11-23,32.54
2011-11-25,32.48
2011-11-28,32.78
2011-11-29,33.3
2011-11-30,34.21
2011-12-01,34.14
2011-12-02,32.52
2011-12-05,33.28
2011-12-06,33.23
2011-12-07,32.86
2011-12-08,32.35
2011-12-09,32.87
2011-12-12,32.32
2011-12-13,32.1
2011-12-14,31.99
2011-12-15,32.41
2011-12-16,32.75
2011-12-19,32.14
2011-12-20,32.73
2011-12-21,33.03
2011-12-22,33.15
2011-12-23,33.25
2011-12-27,33.54
2011-12-28,33.45
2011-12-29,33.66
2011-12-30,33.35
2012-01-03,33.15
2012-01-04,32.98
2012-01-05,32.85
2012-01-06,32.65
2012-01-09,32.38
2012-01-10,32.27
2012-01-11,32.49
2012-01-12,32.44
2012-01-13,32.29
2012-01-17,32.34
2012-01-18,32.49
