Date,Close
2021-10-29,36.75
2021-11-01,37.13
2021-11-02,36.49
2021-11-03,36.82
2021-11-04,36.26
2021-11-05,36.28
2021-11-08,36.99
2021-11-09,36.64
2021-11-10,36.63
2021-11-11,34.72
2021-11-12,33.7
2021-11-15,33.38
2021-11-16,33.54
2021-11-17,32.95
2021-11-18,31.6
2021-11-19,31.25
2021-11-22,31.64
2021-11-23,31.2
2021-11-24,31.54
2021-11-26,31.13
2021-11-29,30.62
2021-11-30,29.23
2021-12-01,28.73
2021-12-02,29.67
2021-12-03,28.83
2021-12-06,29.31
2021-12-07,29.31
2021-12-08,29.33
2021-12-09,28.67
2021-12-10,28.74
2021-12-13,28.87
2021-12-14,28.85
2021-12-15,29.33
2021-12-16,30.33
2021-12-17,30.19
2021-12-20,29.36
2021-12-21,29.79
2021-12-22,30.01
2021-12-23,30.22
2021-12-27,30.09
2021-12-28,29.89
2021-12-29,29.82
2021-12-30,30.73
2021-12-31,30.45
2022-01-03,31.16
2022-01-04,31.52
2022-01-05,31.1
2022-01-06,31.51
2022-01-07,32.41
2022-01-10,32.21
2022-01-11,32.75
2022-01-12,32.61
2022-01-13,32.9
2022-01-14,32.86
2022-01-18,32.07
2022-01-19,32.24
2022-01-20,31.82
2022-01-21,30.97
2022-01-24,30.45
2022-01-25,30.71
2022-01-26,30.73
2022-01-27,30.7
2022-01-28,31.45
2022-01-31,31.91
2022-02-01,32.99
2022-02-02,33.33
2022-02-03,32.92
2022-02-04,33.12
2022-02-07,33.52
2022-02-08,33.75
2022-02-09,34.59
2022-02-10,34.45
2022-02-11,34.72
2022-02-14,34.38
2022-02-15,35.22
2022-02-16,36.34
2022-02-17,36.37
2022-02-18,36.09
2022-02-22,35.98
2022-02-23,35.5
2022-02-24,36.03
2022-02-25,37.57
2022-02-28,37.33
2022-03-01,37.46
2022-03-02,39.36
2022-03-03,39.02
2022-03-04,38.82
2022-03-07,38.42
2022-03-08,36.65
2022-03-09,36.46
2022-03-10,35.98
2022-03-11,35.83
2022-03-14,32.36
2022-03-15,32.29
2022-03-16,32.9
2022-03-17,34.34
2022-03-18,35.08
2022-03-21,34.77
2022-03-22,35.35
2022-03-23,35.34
2022-03-24,35.3
2022-03-25,34.99
2022-03-28,35.17
2022-03-29,35.32
2022-03-30,35.81
2022-03-31,34.93
2022-04-01,35.15
2022-04-04,34.72
2022-04-05,35.4
2022-04-06,36.2
2022-04-07,36.2
2022-04-08,35.87
2022-04-11,35.18
2022-04-12,34.99
2022-04-13,34.98
2022-04-14,34.9
2022-04-18,33.38
2022-04-19,33.95
2022-04-20,33.35
2022-04-21,32.77
2022-04-22,32.26
2022-04-25,32.51
2022-04-26,31.66
2022-04-27,32.42
2022-04-28,33.0
2022-04-29,32.33
2022-05-02,32.08
2022-05-03,32.44
2022-05-04,33.19
2022-05-05,34.87
2022-05-06,34.77
2022-05-09,34.72
2022-05-10,34.76
2022-05-11,33.35
2022-05-12,34.63
2022-05-13,34.94
2022-05-16,35.43
2022-05-17,36.73
2022-05-18,35.96
2022-05-19,36.57
2022-05-20,37.64
2022-05-23,37.53
2022-05-24,37.52
2022-05-25,38.1
2022-05-26,38.56
2022-05-27,38.9
2022-05-31,37.96
2022-06-01,37.75
2022-06-02,37.33
2022-06-03,37.18
2022-06-06,37.47
2022-06-07,37.81
2022-06-08,37.61
2022-06-09,36.39
2022-06-10,35.46
2022-06-13,34.2
2022-06-14,33.13
2022-06-15,33.59
2022-06-16,32.81
2022-06-17,33.17
2022-06-21,32.88
2022-06-22,33.59
2022-06-23,34.92
2022-06-24,35.86
2022-06-27,35.43
2022-06-28,34.79
2022-06-29,34.57
2022-06-30,33.75
2022-07-01,34.25
2022-07-05,34.2
2022-07-06,33.29
2022-07-07,33.05
2022-07-08,32.75
2022-07-11,32.7
2022-07-12,32.86
2022-07-13,32.28
2022-07-14,31.85
2022-07-15,31.97
2022-07-18,31.2
2022-07-19,31.57
2022-07-20,31.66
2022-07-21,31.76
2022-07-22,31.96
2022-07-25,32.8
2022-07-26,32.9
2022-07-27,32.64
2022-07-28,32.45
2022-07-29,31.72
2022-08-01,31.83
2022-08-02,31.77
2022-08-03,32.57
2022-08-04,32.41
2022-08-05,31.5
2022-08-08,31.54
2022-08-09,31.39
2022-08-10,31.52
2022-08-11,31.69
2022-08-12,30.99
2022-08-15,31.01
2022-08-16,31.18
